epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,189.881,0.64058,0.94872,1.00368,0.99703,0,0.76656,0.6913,0.70392,0.60168,0.76656,0.6913,0.70392,0.56635,0.5891,0.94665,1.41744,1.06613,0,0.000693305,0.000693305,0.000693305
61,192.697,0.59684,0.82124,0.94876,0.94971,0,0.67588,0.68739,0.68503,0.56205,0.67588,0.68739,0.68503,0.54434,0.60113,0.97602,1.35856,1.06706,0,0.000676802,0.000676802,0.000676802
62,195.522,0.65853,0.8958,0.98269,0.99449,0,0.7161,0.71988,0.73081,0.57977,0.70499,0.68478,0.7047,0.56197,0.61823,1.05868,1.28114,1.02399,0,0.000660299,0.000660299,0.000660299
63,198.32,0.60413,0.82897,0.9713,0.97893,0,0.56016,0.78228,0.71621,0.561,0.56016,0.78228,0.71621,0.55718,0.70273,1.08114,1.36384,1.11821,0,0.000643795,0.000643795,0.000643795
64,201.096,0.61527,0.90564,0.98134,0.97652,0,0.71227,0.68478,0.73805,0.56296,0.71227,0.68478,0.73805,0.57501,0.74274,1.0822,1.35245,1.14861,0,0.000627292,0.000627292,0.000627292
65,203.882,0.62269,0.8336,1.00224,1.00402,0,0.7945,0.71577,0.76618,0.57425,0.7945,0.71577,0.76618,0.58645,0.75277,1.11368,1.25582,1.14837,0,0.000610789,0.000610789,0.000610789
66,206.833,0.60989,0.91427,0.92513,0.96665,0,0.72496,0.7315,0.79466,0.60092,0.82431,0.63881,0.78466,0.6128,0.71636,0.94302,1.17753,1.10032,0,0.000594286,0.000594286,0.000594286
67,209.627,0.65313,0.97821,0.96587,0.99176,0,0.84858,0.60435,0.78919,0.61757,0.84858,0.60435,0.78919,0.64324,0.66749,0.85321,1.14725,1.06562,0,0.000577782,0.000577782,0.000577782
68,212.376,0.60276,0.85549,0.96111,0.95755,0,0.75782,0.62761,0.79075,0.67412,0.75782,0.62761,0.79149,0.65808,0.63677,0.85739,1.16105,1.03137,0,0.000561279,0.000561279,0.000561279
69,215.173,0.5761,0.82351,0.91185,0.94297,0,0.79024,0.74074,0.79895,0.70532,0.79024,0.74074,0.79895,0.68993,0.59738,0.90967,1.08678,0.98244,0,0.000544776,0.000544776,0.000544776
70,218.199,0.58017,0.77371,0.89024,0.95376,0,0.87056,0.63151,0.7815,0.69479,0.87056,0.63151,0.7815,0.66248,0.58903,0.95886,1.08059,0.982,0,0.000528272,0.000528272,0.000528272
71,220.991,0.61569,0.89741,0.8747,0.96718,0,0.68072,0.66304,0.72301,0.60931,0.68072,0.66304,0.72301,0.59232,0.61579,0.98871,1.19328,1.02284,0,0.000511769,0.000511769,0.000511769
72,223.763,0.5963,0.83224,0.88445,0.97559,0,0.59546,0.69628,0.68816,0.57819,0.59546,0.69628,0.68816,0.55932,0.61489,1.04738,1.26187,1.05014,0,0.000495266,0.000495266,0.000495266
73,226.516,0.59934,0.84054,0.90575,0.96978,0,0.56134,0.80559,0.66068,0.55363,0.56134,0.80559,0.66068,0.53722,0.58844,1.0489,1.31668,1.03544,0,0.000478762,0.000478762,0.000478762
74,229.319,0.57713,0.72137,0.86049,0.96323,0,0.57915,0.66304,0.67444,0.57838,0.57915,0.66304,0.67444,0.55916,0.54073,1.06046,1.30588,0.99442,0,0.000462259,0.000462259,0.000462259
75,232.127,0.58569,0.77671,0.82139,0.96025,0,0.70321,0.58379,0.68456,0.59605,0.70321,0.58379,0.68456,0.57396,0.51342,1.04398,1.2661,0.97383,0,0.000445756,0.000445756,0.000445756
76,234.965,0.58281,0.81205,0.81406,0.98121,0,0.72187,0.5913,0.71563,0.62576,0.72187,0.5913,0.71563,0.59643,0.50538,1.02636,1.17119,0.95464,0,0.000429253,0.000429253,0.000429253
77,237.745,0.58989,0.89751,0.89776,0.96321,0,0.68878,0.70652,0.74545,0.67898,0.68878,0.70652,0.74545,0.63042,0.47566,1.10743,1.09077,0.92598,0,0.000412749,0.000412749,0.000412749
78,240.556,0.5122,0.7326,0.8097,0.94961,0,0.68687,0.75652,0.73721,0.65531,0.68687,0.75652,0.73721,0.62539,0.46312,1.05649,1.08123,0.92128,0,0.000396246,0.000396246,0.000396246
79,243.356,0.53919,0.74081,0.77144,0.94611,0,0.75817,0.74718,0.75495,0.68498,0.75817,0.74718,0.75495,0.64929,0.469,1.08507,1.06062,0.92022,0,0.000379743,0.000379743,0.000379743
80,246.168,0.5697,0.90605,0.88118,0.95219,0,0.76925,0.75652,0.75175,0.68379,0.76925,0.75652,0.75175,0.6532,0.47006,1.09218,1.04114,0.91369,0,0.000363239,0.000363239,0.000363239
81,248.938,0.55197,0.78327,0.80412,0.94953,0,0.78808,0.75345,0.74214,0.6765,0.78808,0.75345,0.73881,0.64955,0.46484,1.10467,1.05006,0.9066,0,0.000346736,0.000346736,0.000346736
82,251.737,0.60977,0.87171,0.97272,0.9823,0,0.79011,0.75652,0.74756,0.67622,0.79011,0.75652,0.74756,0.64308,0.46747,1.06453,1.04957,0.89949,0,0.000330233,0.000330233,0.000330233
83,254.58,0.54293,0.77413,0.82661,0.93131,0,0.74384,0.75652,0.74255,0.66947,0.74384,0.75652,0.74255,0.64551,0.45651,1.05332,1.0397,0.89265,0,0.000313729,0.000313729,0.000313729
84,257.374,0.55353,0.82599,0.79308,0.9429,0,0.74206,0.75025,0.75448,0.68481,0.74206,0.75025,0.75448,0.65307,0.44526,0.98548,1.00089,0.88754,0,0.000297226,0.000297226,0.000297226
85,260.149,0.54227,0.73946,0.77648,0.93605,0,0.74507,0.75652,0.81289,0.73115,0.74507,0.75652,0.81289,0.6945,0.45418,0.95931,0.96944,0.89203,0,0.000280723,0.000280723,0.000280723
86,263.009,0.54718,0.75376,0.8328,0.93602,0,0.73013,0.75652,0.81332,0.73361,0.73013,0.75652,0.81332,0.69677,0.45844,0.82419,1.00436,0.88688,0,0.00026422,0.00026422,0.00026422
87,265.861,0.53156,0.69753,0.80138,0.92321,0,0.7466,0.75652,0.82055,0.74496,0.7466,0.75652,0.82055,0.71577,0.45092,0.77941,0.99111,0.8819,0,0.000247716,0.000247716,0.000247716
88,268.685,0.55658,0.71566,0.76819,0.94286,0,0.77472,0.85652,0.85137,0.76958,0.77472,0.85652,0.85137,0.72867,0.44628,0.7515,0.94631,0.87756,0,0.000231213,0.000231213,0.000231213
