epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
80,4172.55,0.85294,1.3447,0.65322,0.97783,0,0.71546,0.61923,0.60713,0.42985,0.66087,0.55263,0.52383,0.34259,1.03151,2.04415,1.13793,1.12367,0,0.0012179,0.0012179,0.0012179
81,4223.28,0.82949,1.3379,0.63911,0.97192,0,0.69356,0.59701,0.60352,0.42334,0.6186,0.5398,0.51633,0.33997,1.09859,2.15896,1.14346,1.15151,0,0.001208,0.001208,0.001208
82,4274.71,0.85037,1.36456,0.63438,0.97167,0,0.69422,0.62688,0.62432,0.42215,0.63626,0.59204,0.54588,0.35201,1.12171,2.33783,1.17321,1.1735,0,0.0011981,0.0011981,0.0011981
83,4325.51,0.84536,1.36308,0.65461,0.9683,0,0.76071,0.57214,0.62288,0.42617,0.70612,0.50249,0.51532,0.33414,1.10822,2.54698,1.15832,1.20152,0,0.0011882,0.0011882,0.0011882
84,4376.2,0.83305,1.35188,0.64184,0.97296,0,0.70564,0.6194,0.61159,0.42676,0.59341,0.56716,0.50339,0.32898,1.08716,2.24597,1.20632,1.16102,0,0.0011783,0.0011783,0.0011783
85,4426.97,0.83582,1.35825,0.63321,0.96993,0,0.80228,0.56468,0.63228,0.44581,0.74107,0.51261,0.54834,0.36644,1.08992,2.29697,1.15825,1.1804,0,0.0011684,0.0011684,0.0011684
86,4477.79,0.83051,1.33994,0.61781,0.96157,0,0.73234,0.66418,0.67562,0.47686,0.6528,0.57528,0.57347,0.38547,1.08963,2.36399,1.07774,1.17762,0,0.0011585,0.0011585,0.0011585
87,4528.54,0.81738,1.29027,0.63135,0.96279,0,0.731,0.55431,0.61515,0.43387,0.59533,0.58458,0.53078,0.35045,1.07766,2.42507,1.18102,1.16018,0,0.0011486,0.0011486,0.0011486
88,4579.21,0.83749,1.32637,0.63261,0.96429,0,0.75958,0.58945,0.64401,0.45137,0.76471,0.49751,0.54692,0.35377,1.07144,2.43456,1.13538,1.14364,0,0.0011387,0.0011387,0.0011387
89,4629.99,0.81697,1.30697,0.62463,0.96098,0,0.66574,0.58706,0.63139,0.43921,0.65213,0.53483,0.53598,0.35255,1.10245,2.27755,1.16163,1.17828,0,0.0011288,0.0011288,0.0011288
90,4680.89,0.82483,1.32683,0.64141,0.96095,0,0.77872,0.54277,0.6304,0.45327,0.59943,0.55464,0.53549,0.37065,1.08668,2.20894,1.18615,1.15505,0,0.0011189,0.0011189,0.0011189
91,4731.71,0.80654,1.30647,0.62072,0.96064,0,0.72325,0.60457,0.65673,0.46242,0.59821,0.57037,0.5388,0.36956,1.08312,2.2756,1.08768,1.12505,0,0.001109,0.001109,0.001109
92,4782.35,0.80317,1.28595,0.6036,0.95545,0,0.81821,0.58219,0.67885,0.47981,0.77447,0.5398,0.58796,0.40052,1.04553,2.10028,1.10827,1.1003,0,0.0010991,0.0010991,0.0010991
93,4833.14,0.80494,1.27869,0.61044,0.95316,0,0.65189,0.61194,0.62054,0.44504,0.59461,0.55721,0.53663,0.35475,1.04879,2.09845,1.19122,1.13343,0,0.0010892,0.0010892,0.0010892
94,4883.78,0.80668,1.2976,0.61478,0.95653,0,0.70805,0.57711,0.635,0.44476,0.64911,0.52488,0.5462,0.36011,1.068,2.26697,1.16473,1.14083,0,0.0010793,0.0010793,0.0010793
95,4934.59,0.80874,1.29303,0.61952,0.95948,0,0.65405,0.61609,0.63616,0.43582,0.61713,0.53731,0.52258,0.35527,1.10496,2.23845,1.11546,1.16967,0,0.0010694,0.0010694,0.0010694
96,4985.18,0.79553,1.26652,0.58352,0.95371,0,0.71247,0.59701,0.62792,0.42242,0.6823,0.55224,0.53699,0.35587,1.08895,2.31911,1.19858,1.1734,0,0.0010595,0.0010595,0.0010595
97,5035.88,0.80871,1.28954,0.60794,0.95605,0,0.72086,0.61028,0.64192,0.44484,0.62451,0.56716,0.54934,0.37025,1.10919,2.38221,1.21165,1.16708,0,0.0010496,0.0010496,0.0010496
98,5086.9,0.80464,1.2648,0.5869,0.95086,0,0.73358,0.62189,0.63834,0.44737,0.64859,0.56468,0.54005,0.36653,1.06951,2.44065,1.12353,1.15354,0,0.0010397,0.0010397,0.0010397
99,5137.64,0.80465,1.2897,0.59881,0.95643,0,0.72359,0.62687,0.63566,0.46618,0.66792,0.55721,0.52475,0.36275,1.03165,2.35713,1.15569,1.12331,0,0.0010298,0.0010298,0.0010298
100,5188.61,0.79899,1.28206,0.6008,0.95507,0,0.80743,0.50746,0.60817,0.43261,0.71385,0.47761,0.52432,0.35317,1.10582,2.33183,1.21313,1.14576,0,0.0010199,0.0010199,0.0010199
101,5239.46,0.78239,1.26673,0.59093,0.94364,0,0.75922,0.59701,0.64838,0.45942,0.69962,0.53731,0.53851,0.35511,1.06639,2.09994,1.10524,1.16858,0,0.00101,0.00101,0.00101
102,5290.22,0.78545,1.2745,0.58274,0.94324,0,0.76414,0.59638,0.65414,0.457,0.73073,0.53731,0.54899,0.3643,1.08194,2.34962,1.09851,1.15799,0,0.0010001,0.0010001,0.0010001
103,5341.02,0.77483,1.26116,0.5796,0.9448,0,0.75208,0.62189,0.64132,0.4447,0.69372,0.5597,0.54871,0.35274,1.13419,2.27848,1.12431,1.18217,0,0.0009902,0.0009902,0.0009902
104,5391.69,0.76784,1.24149,0.56445,0.93943,0,0.74936,0.52804,0.62169,0.4375,0.71723,0.5,0.55422,0.36583,1.12423,2.25153,1.1851,1.17682,0,0.0009803,0.0009803,0.0009803
105,5442.38,0.79595,1.27162,0.57192,0.94614,0,0.71428,0.53482,0.6221,0.43928,0.75082,0.50249,0.58285,0.38201,1.11757,2.24512,1.17174,1.17343,0,0.0009704,0.0009704,0.0009704
106,5493.29,0.77505,1.24378,0.5715,0.94831,0,0.63835,0.6791,0.65552,0.45499,0.61321,0.60697,0.56426,0.38513,1.07517,2.19856,1.08888,1.13902,0,0.0009605,0.0009605,0.0009605
107,5544.19,0.77876,1.2176,0.56787,0.94615,0,0.68863,0.66018,0.6515,0.4579,0.64535,0.60199,0.57279,0.36858,1.10753,2.169,1.16305,1.15457,0,0.0009506,0.0009506,0.0009506
108,5594.76,0.77513,1.24262,0.56164,0.94666,0,0.71209,0.63433,0.64834,0.45955,0.64681,0.56944,0.54338,0.37045,1.11572,2.25903,1.16287,1.16726,0,0.0009407,0.0009407,0.0009407
109,5645.58,0.77228,1.2354,0.56107,0.93707,0,0.66702,0.65174,0.64344,0.45409,0.65651,0.58954,0.55945,0.36723,1.08787,2.13353,1.12891,1.14397,0,0.0009308,0.0009308,0.0009308
110,5696.37,0.76876,1.24104,0.56493,0.93906,0,0.71715,0.61179,0.65767,0.46845,0.69573,0.5398,0.57678,0.39059,1.06769,2.11727,1.09781,1.14071,0,0.0009209,0.0009209,0.0009209
111,5747.09,0.77579,1.2318,0.55784,0.94266,0,0.7419,0.59701,0.64014,0.44029,0.65465,0.52488,0.52799,0.34797,1.09372,2.24418,1.19984,1.1677,0,0.000911,0.000911,0.000911
112,5797.91,0.75454,1.22748,0.54225,0.94008,0,0.73603,0.56965,0.63341,0.44155,0.64141,0.50995,0.52345,0.35364,1.09633,2.12945,1.17625,1.15026,0,0.0009011,0.0009011,0.0009011
113,5848.89,0.79262,1.25269,0.56243,0.94642,0,0.58441,0.67413,0.62674,0.43635,0.52322,0.60056,0.51804,0.35116,1.12503,2.24634,1.24381,1.1691,0,0.0008912,0.0008912,0.0008912
114,5899.56,0.77946,1.22448,0.5743,0.94063,0,0.61548,0.60124,0.61399,0.42226,0.53741,0.56065,0.50074,0.34265,1.10236,2.23215,1.2249,1.1574,0,0.0008813,0.0008813,0.0008813
115,5950.47,0.77183,1.23361,0.56027,0.9373,0,0.69333,0.66364,0.66117,0.45539,0.6589,0.62189,0.56954,0.36951,1.07239,2.15845,1.12544,1.14198,0,0.0008714,0.0008714,0.0008714
116,6001.05,0.74531,1.16402,0.52897,0.93276,0,0.65362,0.62438,0.62618,0.44906,0.58453,0.58955,0.54084,0.36887,1.05936,2.20603,1.15011,1.12691,0,0.0008615,0.0008615,0.0008615
117,6051.81,0.76335,1.18309,0.55453,0.93729,0,0.71537,0.66169,0.65579,0.45524,0.64515,0.58794,0.56827,0.37294,1.09397,2.22206,1.13843,1.15768,0,0.0008516,0.0008516,0.0008516
118,6102.53,0.75926,1.17427,0.53456,0.93652,0,0.78021,0.58209,0.6498,0.46798,0.70932,0.52985,0.56125,0.37353,1.04514,2.28892,1.11197,1.14321,0,0.0008417,0.0008417,0.0008417
119,6153.52,0.76571,1.22132,0.55421,0.93498,0,0.71439,0.60355,0.62539,0.44265,0.67054,0.55185,0.54906,0.37054,1.07521,2.18236,1.15954,1.14153,0,0.0008318,0.0008318,0.0008318
120,6204.37,0.76416,1.19308,0.53699,0.93097,0,0.66972,0.61034,0.63256,0.43984,0.56706,0.56716,0.54328,0.36552,1.09883,2.27824,1.21255,1.17118,0,0.0008219,0.0008219,0.0008219
121,6255.02,0.75416,1.19395,0.53167,0.92995,0,0.69417,0.63682,0.63954,0.45437,0.62759,0.5796,0.55049,0.37109,1.05656,2.17896,1.17005,1.12782,0,0.000812,0.000812,0.000812
122,6305.89,0.75984,1.18901,0.53576,0.92929,0,0.76351,0.5398,0.61972,0.43511,0.69314,0.49005,0.52396,0.3506,1.10642,2.29107,1.25624,1.16153,0,0.0008021,0.0008021,0.0008021
123,6356.55,0.74579,1.18652,0.51803,0.92973,0,0.74912,0.61692,0.65205,0.46011,0.69613,0.55224,0.55831,0.35916,1.07003,2.32222,1.152,1.14798,0,0.0007922,0.0007922,0.0007922
